date,home_team,score,away_team
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
17-08-2024,Arsenal,2 - 0,Wolves
